caderno_numero,tec_id,banca,concurso,ano,gabarito,enunciado_resumo,status_comparacao,questao_existente_id,unidade,artigos,uso_pedagogico,confianca,motivo,arquivo_origem,pagina
43,2923027,FGV,TFA (ADAB)/ADAB,2024,C,"Sobre a Lei nº 11.340/2006 (Lei Maria da Penha), assinale a afirmativa correta:",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,9
44,2941024,AVANÇASP,Coor CRAS (Pref Lorena)/Pref Lorena,2024,A,"De acordo com a Lei Maria da Penha, Art. 3º, parágrafo § 1º. Assinale a alternativa que completa corretamente a lacuna: O poder público desenvolverá p…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,10
45,2593845,VUNESP,AgDP (DPE SP)/DPE SP/Cientista Social - Sociólogo,2023,A,"A chamada Lei Maria da Penha (Lei Federal nº 11.340/2006) determina, no § 1º de seu artigo 3º, que o “[...] poder público desenvolverá políticas que v…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,10
46,2813038,INTEGRI BRASIL,GC (Pref Socorro)/Pref Socorro/Estagiário,2023,A,"Considerando a Lei Federal nº 11.340, de 7 de agosto de 2006, assinale a alternativa ERRADA:",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,10
47,2844315,GSA,GCM (Pref Itapetininga)/Pref Itapetininga,2023,D,"Nos termos da Lei n. 11.340, de 7 de agosto de 2006 que cria mecanismos para coibir a violência doméstica e familiar contra a mulher, nos termos do ar…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,10
48,2421549,CEBRASPE (CESPE),Ana (CNMP)/CNMP/Apoio Jurídico/Direito,2023,Certo,"Com base na Lei n.º 11.340/2006, relativa aos mecanismos para coibir a violência doméstica e familiar contra a mulher, julgue o item a seguir. Cabe ao…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,10
49,3386911,INEP BRASIL,Ana (Pref Palestina de GO)/Pref Palestina de GO/Ambiental,2023,D,"Em agosto de 2022, a Lei Maria da Penha completa 16 anos. O nome da norma referese a uma farmacêutica vítima de violência doméstica em 1983 e foi reco…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,11
50,2839184,FUNDATEC,GM (Pref Imbé)/Pref Imbé,2023,B,"A Lei nº 11.340/2006, denominada “Lei Maria da Penha”, foi criada com qual finalidade?",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,11
51,2558874,Legalle,AFis (Pref Lajeado)/Pref Lajeado (RS),2023,A,"De acordo com a Lei Maria da Penha, a violência doméstica e familiar contra a mulher constitui uma das formas de violação dos:",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,11
52,2475517,IBAM,GCM (Pref Bertioga)/Pref Bertioga,2023,C,"A Lei no 11.340, de 07 de agosto de 2006, conhecida também como Lei Maria da Penha, criou diversos mecanismos para coibir e prevenir a violência domés…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,11
53,2855429,IBFC,Tec Adm (SAEB BA)/SAEB BA/Administrativo,2023,A,"De acordo com a Lei Maria da Penha (Lei federal nº 11.340, de 7 de agosto de 2006), analise as afirmativas abaixo. I. O poder público desenvolverá pol…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,11
54,2812979,INTEGRI BRASIL,GC (Pref Socorro)/Pref Socorro/Estagiário,2023,A,"Considere Lei Federal n° 11.340, que estabelece normativa sobre a violência doméstica contra a mulher. Com base em tal regra de direito, é ERRADO afir…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,12
55,2976887,EPL Concursos,ASoc (Pref Sta Rita (PB))/Pref Sta Rita (PB),2023,D,"A Lei Maria da Penha é um marco fundamental na legislação brasileira, que tem como premissa coibir a violência doméstica e familiar contra a mulher. A…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,12
56,2966120,Instituto Verbena,GCM (Pref S Helena de GO)/Pref S Helena de GO,2023,D,"Atualmente, existem no Brasil pelo menos seis leis específicas de proteção às mulheres. A Lei 11.340, de 07 de agosto de 2006, conhecida como Lei Mari…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,12
57,2873457,IGEDUC,ASoc (Pref Pombos)/Pref Pombos/Secretaria de Assistência Social,2023,Errado,"Julgue o item a seguir. Indivíduos vítimas de violência doméstica , independentemente de sua localização geográfica, têm direito a apoio e proteção po…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,12
58,2736871,IGEDUC,GM (Pref SV Férrer)/Pref SV Férrer,2023,Certo,"Julgue o item a seguir. Toda mulher, independentemente de classe, raça, etnia, orientação sexual, renda, cultura, nível educacional, idade e religião,…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,12
59,2249471,FUNDATEC,Ag (Pref Candelária)/Pref Candelária/Comunitário de Saúde,2022,E,"Referenciando-se nos termos da Lei Maria da Penha, Lei Federal nº 11.340/2006, analise as assertivas abaixo e assinale a alternativa correta. I. Os fi…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,12
60,2431415,Instituto Verbena,AAS (Pref GYN)/Pref GYN/Psicólogo,2022,C,A Lei n. 11.340/2006 (Lei Maria da Penha) cria mecanismos para,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,13
61,2025732,FUNDATEC,Arqt (Flores Cunha)/Pref Flores da Cunha,2022,A,"Fundamentando-se na Lei nº 11.340/2006 (Lei Maria da Penha), analise as assertivas abaixo e assinale V, se verdadeiras, ou F, se falsas. ( ) O poder p…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,13
62,2386690,FUNDATEC,GM (Pref Viamão)/Pref Viamão,2022,C,"Um homem morava com uma mulher numa relação estável há mais de cinco anos, e, precisando de dinheiro, forçou esta mulher a se prostituir com outros am…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,13
63,2268321,FCM,CEFETMINAS - Ass Soc (IF BA)/IF BA,2022,A,"Preencha corretamente as lacunas do texto a seguir, referente à Lei nº 11.340, de 7 de agosto de 2006 – Lei Maria da Penha. Toda mulher, _____________…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,13
64,2335470,IBFC,Psico (SESACRE)/SESACRE,2022,D,"A Lei nº 11.340, conhecida como Lei Maria da Penha, cria mecanismos para coibir e prevenir a violência doméstica e familiar contra a mulher. Em relaçã…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,14
65,2149611,IBFC,Deleg (PC BA)/PC BA,2022,D,A lei conhecida como “Lei Maria da Penha” possui quarenta e seis artigos e entrou em vigor no ano de 2006. Sobre as disposições que compõem o Título I…,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,14
66,2249561,FUNDATEC,Med (Pref Candelária)/Pref Candelária/Clínico Geral/Estratégia de Saúde da Família,2022,C,"Referenciando-se nos termos da Lei Maria da Penha, Lei Federal nº 11.340/2006, analise as assertivas abaixo: I. A violência doméstica e familiar contr…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,14
67,1939620,FCM,CEFETMINAS - ASoc (Pref Timóteo)/Pref Timóteo,2022,B,"A propósito da Lei 11.340/2006 (Lei Maria da Penha), é correto afirmar que essa Lei",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,14
68,2221550,AVANÇASP,Proc (CM Sorocaba)/CM Sorocaba,2022,C,"Para os efeitos da Lei 11340/2006, configura violência doméstica e familiar contra a mulher qualquer ação ou omissão baseada no gênero que lhe cause m…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,14
69,1864815,FGV,Insp Pol (PC RJ)/PC RJ,2022,C,"Em relação ao sujeito passivo dos delitos de violência doméstica e familiar contra a mulher, é correto afirmar que:",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,15
70,2173149,MetroCapital,Coor CRAS (N Odessa)/Pref Nova Odessa,2022,C,A Lei de nº 11.340/2006 ficou nacionalmente conhecida como:,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,15
71,2116409,Instituto Consulplan,Adv (Pref Caeté)/Pref Caeté/CREAS,2022,D,"Nos termos da Lei nº 11.340/2006 – Lei Maria da Penha, configura violência doméstica e familiar contra a mulher qualquer ação ou omissão baseada no gê…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,15
72,2520087,FUNDATEC,SEsc (Morro Reuter)/Pref Morro Reuter,2022,D,"De acordo com a Lei Maria da Penha, no âmbito das relações domésticas e familiares, serão desenvolvidas, pelo poder público, políticas que visem garan…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,15
73,3098120,NC UFPR (FUNPAR),Ed Soc (FAS)/FAS,2022,E,A Lei n.º 11.340 (Lei Maria da Penha) foi sancionada no ano de 2006 com os objetivos de:,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,15
74,2347033,VUNESP,GCM (F.co Morato)/Pref F.co Morato/Masculino e Feminino,2022,B,"Nos termos da Lei no 11.340, de 07 de agosto de 2006 (Lei “Maria da Penha”), é correto afirmar que",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,16
75,1820933,AVANÇASP,Ag (Pref Laranjal P)/Pref Laranjal Pta/Social,2021,D,"Com relação às noções básicas acerca da Lei Maria da Penha, analise os itens a seguir e, ao final, assinale a alternativa correta: I – Cabe à família,…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,16
76,1838014,FGV,Of (PM PB)/PM PB,2021,E,"Em relação à fixação da competência dos Juizados Especiais de Violência Doméstica e Familiar Contra a Mulher, é correto afirmar que:",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,16
77,1632418,IDIB,Sarg (PM ES)/PM ES,2021,D,"Com base na Lei “Maria da Penha” (Lei nº 11.340/2006), analise as assertivas a seguir: I. Serão asseguradas às mulheres as condições para o exercício …",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,16
78,1839818,FUMARC,Del Pol (PC MG)/PC MG,2021,A,"Lei Maria da Penha (Lei 11.340/2006) determina que casos de violência doméstica e intrafamiliar que sejam tipificados como crime, devem ser apurados a…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,16
79,1510319,Unifil,Cuid (Pref Tupãssi)/Pref Tupãssi,2020,B,"De acordo com Art. 2º da Lei 11.340, de 7/08/2006, toda mulher, independentemente de classe, raça, etnia, orientação sexual, renda, cultura, nível edu…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,17
80,1510318,Unifil,Cuid (Pref Tupãssi)/Pref Tupãssi,2020,D,"A Lei nº 11.340, de 07/08/2006, criou mecanismos para coibir a violência doméstica e familiar contra a mulher, nos termos do § 8º do Art. 226 da Const…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,17
81,1224650,Instituto AOCP,Ed Soc (Pref Betim)/Pref Betim,2020,E,"A Lei nº 11.340/2006, conhecida como Lei “Maria da Penha”, cria mecanismos para",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,17
82,1658147,FUNDATEC,GM (Pref Campo Bom)/Pref Campo Bom,2020,D,A Lei conhecida como “Lei Maria da Penha” trata sobre qual atitude que deve ter a atenção do Guarda Municipal durante o exercício das suas atividades?,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,17
83,1447418,QUADRIX,Ag Fisc (CRESS 26)/CRESS 26 (AC),2020,Certo,A Lei Maria da Penha é um importante instrumento utilizado no exercício profissional do assistente social. Para realizar a socialização de informações…,PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,17
84,1052749,OBJETIVA CONCURSOS,Tec (Pref Jaú)/Pref Jaú/Enfermagem do PSF I,2019,A,"Em conformidade com a Lei nº 11.340/2006, analisar os itens abaixo: I. A violência doméstica e familiar contra a mulher constitui uma das formas de vi…",PENDENTE_COMPARACAO_SUPABASE,,U1,1º a 4º da Lei nº 11.340/2006,BANCO_GERAL_MISSAO_FINAL,baixa,"Classificacao heuristica a partir do cabecalho de classificacao do TEC (arts. 1º a 4º da Lei nº 11.340/2006), integralmente dentro do intervalo de U1 (arts. 1o-7o). Nao lida individualmente nesta fase. Recomenda-se leitura dedicada antes de usar como pratica de unidade.",Caderno Lei Maria da Penha - 1 ao 200.pdf,17
